TransactionID,CustomerID,Age,Gender,Marital Status,Income,Date,ProductID,Product Name,Price_x,Qty,TotalAmount,StoreID,StoreName,GroupStore,Type,Latitude,Longitude
TR10008,235,37,0,Married,"5,35",2022-05-21,P8,Oat,16000,2,32000,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR32057,235,37,0,Married,"5,35",2022-06-10,P7,Coffee Candy,9400,3,28200,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR47938,235,37,0,Married,"5,35",2022-10-18,P3,Crackers,7500,4,30000,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR49065,235,37,0,Married,"5,35",2022-10-08,P5,Thai Tea,4200,4,16800,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR50919,235,37,0,Married,"5,35",2022-08-18,P7,Coffee Candy,9400,4,37600,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR85951,235,37,0,Married,"5,35",2022-06-01,P2,Ginger Candy ,3200,6,19200,11,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403
TR1288,235,37,0,Married,"5,35",2022-05-23,P9,Yoghurt,10000,3,30000,9,Lingga,Lingga,Modern Trade,-3.654703,128.190643
TR65129,235,37,0,Married,"5,35",2022-07-15,P1,Choco Bar,8800,9,79200,14,Priangan,Priangan,Modern Trade,-5.45,105.26667
TR37874,235,37,0,Married,"5,35",2022-09-09,P3,Crackers,7500,1,7500,3,Prima Kota,Prima,Modern Trade,-7.797068,110.370529
TR68490,235,37,0,Married,"5,35",2022-07-14,P5,Thai Tea,4200,4,16800,3,Prima Kota,Prima,Modern Trade,-7.797068,110.370529
TR19664,235,37,0,Married,"5,35",2022-11-25,P9,Yoghurt,10000,4,40000,13,Buana,Buana,General Trade,-1.26916,116.825264
TR21639,235,37,0,Married,"5,35",2022-03-18,P2,Ginger Candy ,3200,7,22400,13,Buana,Buana,General Trade,-1.26916,116.825264
TR32650,235,37,0,Married,"5,35",2022-05-26,P1,Choco Bar,8800,4,35200,13,Buana,Buana,General Trade,-1.26916,116.825264
TR45168,235,37,0,Married,"5,35",2022-12-30,P1,Choco Bar,8800,7,61600,13,Buana,Buana,General Trade,-1.26916,116.825264
TR11377,235,37,0,Married,"5,35",2022-10-13,P2,Ginger Candy ,3200,6,19200,1,Prima Tendean,Prima,Modern Trade,-6.2,106.816666
TR10346,322,41,0,Married,"20,01",2022-01-03,P3,Crackers,7500,4,30000,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR14512,322,41,0,Married,"20,01",2022-04-10,P2,Ginger Candy ,3200,3,9600,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR48215,322,41,0,Married,"20,01",2022-05-12,P5,Thai Tea,4200,4,16800,7,Buana Indah,Buana,General Trade,3.316694,114.590111
